ticket_handle,game_handle,outcome_h_plus,outcome_h,outcome_t,outcome_v,outcome_v_plus
2590,27,0,1,0,0,0
2590,20,1,1,0,0,0
2590,21,0,0,1,0,0
2590,22,0,0,0,0,0
2590,23,0,1,0,0,0
2590,28,0,1,0,0,0
2590,29,0,0,0,0,0
2590,1,0,1,0,0,0
2590,3,1,1,0,0,0
2590,2,1,1,0,0,0
2590,5,0,0,0,0,0
2590,4,1,1,0,0,0
2590,6,1,1,0,0,0
2590,9,0,1,1,0,0
2590,8,1,1,0,0,0
2590,11,0,0,0,1,1
2590,10,0,0,0,1,1
2590,13,0,0,0,1,1
2590,12,0,1,1,0,0
2590,15,0,1,1,0,0
2590,17,1,1,0,0,0
2590,16,0,1,1,0,0
2590,19,0,0,0,1,1
2590,18,1,1,0,0,0
2590,31,0,0,0,0,0
2590,30,0,0,0,0,0
2591,56,0,0,0,1,1
2591,28,1,1,0,0,0
2591,15,0,0,0,1,1
2591,60,1,1,0,0,0
2591,88,0,0,1,0,0
2591,63,1,1,0,0,0
2591,64,0,0,0,1,1
2591,66,1,1,0,0,0
2591,69,0,1,1,0,0
2591,82,0,0,0,0,0
2591,83,0,1,0,0,0
2591,80,0,0,0,0,0
2591,81,0,0,0,0,0
2591,86,0,1,0,0,0
2591,87,0,1,0,0,0
2591,84,0,0,0,0,0
2591,85,0,0,1,0,0
2591,24,1,1,0,0,0
2591,25,1,1,0,0,0
2591,26,0,0,0,0,0
2591,27,1,1,0,0,0
2591,20,0,0,0,1,1
2591,21,0,0,0,1,1
2591,48,1,1,0,0,0
2591,49,0,0,0,1,1
2591,46,0,0,0,1,1
2591,23,0,0,1,0,0
2591,44,1,1,0,0,0
2591,45,0,1,0,0,0
2591,42,0,1,0,0,0
2591,43,0,1,0,0,0
2591,40,0,0,0,0,0
2591,1,1,1,0,0,0
2591,3,0,0,1,0,0
2591,2,0,0,1,0,0
2591,5,0,0,0,0,0
2591,79,0,1,0,0,0
2591,7,0,0,0,1,1
2591,6,0,0,0,1,1
2591,9,0,0,1,0,0
2591,8,0,0,0,0,0
2591,78,0,1,0,0,0
2591,89,0,0,0,0,0
2591,39,0,0,0,1,1
2591,34,0,1,0,0,0
2591,77,0,0,0,0,0
2591,98,0,0,1,0,0
2591,74,0,0,0,1,1
2591,47,0,0,0,1,1
2591,72,0,0,0,1,1
2591,71,0,0,0,1,1
2591,70,0,1,1,0,0
2591,90,0,1,0,0,0
2591,93,0,0,1,0,0
2591,95,0,0,1,0,0
2591,94,0,0,0,0,0
2591,97,0,0,1,0,0
2591,96,0,0,1,0,0
2591,11,0,0,1,0,0
2591,10,0,0,1,0,0
2591,13,1,1,0,0,0
2591,12,0,1,0,0,0
2591,59,1,1,0,0,0
2591,22,0,0,0,1,1
2591,14,1,1,0,0,0
2591,76,0,0,0,1,1
2591,19,0,0,1,1,1
2591,57,1,1,0,0,0
2591,30,0,0,0,1,1
2591,51,1,1,0,0,0
2591,36,1,1,0,0,0
2591,53,0,0,1,0,0
2591,52,0,0,0,1,1
2591,99,0,0,1,0,0
2591,33,1,1,0,0,0
2591,55,1,1,0,0,0
2591,16,1,1,0,0,0
2591,54,1,1,0,0,0
2591,17,0,0,1,0,0
2591,31,0,0,0,0,0
2591,50,1,1,0,0,0
2592,42,0,1,0,0,0
2592,60,1,1,0,0,0
2592,64,1,1,0,0,0
2592,65,0,1,1,0,0
2592,67,0,1,1,0,0
2592,82,0,0,0,0,0
2592,83,0,0,1,0,0
2592,80,0,0,1,0,0
2592,81,0,0,1,0,0
2592,86,0,0,0,0,0
2592,84,0,1,0,0,0
2592,85,0,0,0,0,0
2592,24,1,1,0,0,0
2592,25,1,1,0,0,0
2592,26,0,0,0,0,0
2592,27,1,1,0,0,0
2592,20,0,0,0,1,1
2592,21,0,1,0,0,0
2592,22,0,0,0,1,1
2592,23,0,0,1,0,0
2592,46,0,0,0,1,1
2592,47,0,0,0,1,1
2592,44,1,1,0,0,0
2592,45,1,1,0,0,0
2592,28,1,1,0,0,0
2592,43,0,1,0,0,0
2592,40,0,0,0,0,0
2592,1,1,1,0,0,0
2592,3,0,0,1,0,0
2592,2,0,0,1,0,0
2592,5,0,0,0,0,0
2592,4,0,0,0,0,0
2592,7,0,0,0,1,1
2592,6,0,0,0,1,1
2592,9,0,0,1,0,0
2592,8,0,0,0,0,0
2592,13,1,1,0,0,0
2592,15,0,0,0,1,1
2592,79,0,0,1,0,0
2592,14,1,1,0,0,0
2592,11,0,0,1,0,0
2592,10,0,0,1,0,0
2592,39,0,0,0,1,1
2592,12,0,1,0,0,0
2592,59,1,1,0,0,0
2592,58,0,1,1,0,0
2592,17,0,0,1,0,0
2592,16,0,0,0,1,1
2592,19,0,0,1,1,1
2592,31,0,0,0,0,0
2592,30,0,0,0,1,1
2592,36,1,1,0,0,0
2592,34,0,1,0,0,0
2592,48,1,1,0,0,0
2593,55,1,1,0,0,0
2593,54,0,0,0,0,0
2593,56,1,1,0,0,0
2593,14,1,1,0,0,0
2635,24,0,0,0,0,0
2635,25,1,1,0,0,0
2635,26,0,1,0,0,0
2635,27,0,1,0,0,0
2635,20,1,1,0,0,0
2635,21,0,1,0,0,0
2635,22,0,1,0,0,0
2635,23,0,0,0,1,1
2635,28,0,1,1,0,0
2635,29,0,1,1,0,0
2635,4,1,1,0,0,0
2635,8,0,0,0,0,0
2635,59,0,1,0,0,0
2635,58,0,1,0,0,0
2635,55,0,1,0,0,0
2635,54,1,1,0,0,0
2635,57,0,0,0,0,0
2635,56,0,0,0,0,0
2635,51,0,0,1,0,0
2635,50,0,0,1,0,0
2635,53,0,0,1,0,0
2635,52,0,1,0,0,0
2635,88,0,0,1,0,0
2635,89,0,0,1,0,0
2635,80,0,0,1,0,0
2635,81,0,0,0,1,1
2635,87,0,0,1,0,0
2635,84,1,1,0,0,0
2635,85,0,1,0,0,0
2635,3,1,1,0,0,0
2635,7,1,1,0,0,0
2635,39,0,0,0,0,0
2635,38,0,0,0,1,1
2635,33,0,0,0,1,1
2635,32,0,1,1,0,0
2635,31,0,1,1,0,0
2635,30,0,0,0,0,0
2635,37,0,1,0,0,0
2635,36,0,1,0,0,0
2635,35,0,1,0,0,0
2635,34,1,1,0,0,0
2635,60,0,1,0,0,0
2635,61,0,1,0,0,0
2635,62,0,1,0,0,0
2635,63,0,1,0,0,0
2635,64,0,1,0,0,0
2635,65,0,1,0,0,0
2635,66,0,0,0,0,0
2635,67,0,1,0,0,0
2635,68,0,0,0,0,0
2635,69,0,1,0,0,0
2635,2,1,1,0,0,0
2635,6,1,1,0,0,0
2635,98,0,0,1,0,0
2635,93,0,1,0,0,0
2635,11,0,0,0,1,1
2635,10,1,1,0,0,0
2635,13,0,0,0,1,1
2635,12,1,1,0,0,0
2635,15,0,1,0,0,0
2635,14,1,1,0,0,0
2635,17,0,0,0,1,1
2635,16,0,0,0,1,1
2635,19,1,1,0,0,0
2635,18,0,0,0,1,1
2635,48,1,1,0,0,0
2635,49,1,1,0,0,0
2635,46,0,0,0,0,0
2635,47,0,0,1,0,0
2635,44,1,1,0,0,0
2635,45,1,1,0,0,0
2635,42,1,1,0,0,0
2635,40,0,0,1,0,0
2635,41,0,0,1,0,0
2635,1,1,1,0,0,0
2635,5,0,0,1,0,0
2635,9,0,0,0,0,0
2635,77,0,0,1,0,0
2635,75,0,0,0,0,0
2635,74,0,1,0,0,0
2635,73,0,1,0,0,0
2635,72,0,1,0,0,0
2635,71,0,0,0,0,0
2635,70,0,0,1,0,0
2635,78,0,0,0,0,0
2634,30,0,1,0,0,0
2634,42,0,1,0,0,0
2634,29,0,0,1,0,0
2634,49,1,1,0,0,0
2634,32,0,0,0,0,0
2634,24,0,1,0,0,0
2634,25,0,1,0,0,0
2634,26,0,0,1,0,0
2634,27,0,1,0,0,0
2634,20,1,1,0,0,0
2634,21,0,1,0,0,0
2634,22,0,1,0,0,0
2634,23,0,0,0,1,1
2634,46,0,0,0,0,0
2634,47,0,1,0,0,0
2634,44,0,1,0,0,0
2634,45,0,0,1,0,0
2634,28,0,1,0,0,0
2634,43,0,0,0,0,0
2634,40,0,1,0,0,0
2634,41,0,0,0,0,0
2634,1,1,1,0,0,0
2634,35,0,1,0,0,0
2634,3,1,1,0,0,0
2634,2,0,0,0,1,1
2634,5,0,0,0,1,1
2634,4,0,0,0,1,1
2634,7,0,0,0,0,0
2634,6,0,0,0,1,1
2634,9,0,0,0,1,1
2634,8,0,0,0,0,0
2634,33,0,1,0,0,0
2634,39,0,1,0,0,0
2634,38,0,1,0,0,0
2634,11,0,0,0,0,0
2634,10,0,1,0,0,0
2634,13,0,0,1,0,0
2634,12,0,1,0,0,0
2634,59,0,0,1,0,0
2634,58,1,1,0,0,0
2634,17,0,0,0,1,1
2634,19,1,1,0,0,0
2634,18,0,0,0,1,1
2634,57,0,0,1,0,0
2634,56,1,1,0,0,0
2634,37,0,1,0,0,0
2634,36,0,1,0,0,0
2634,53,0,0,1,0,0
2634,34,0,1,0,0,0
2634,55,0,0,1,0,0
