Symbol,Name,Sector,price_count,intraday_mean,intraday_stddev
JPM,JPMorgan Chase & Co.,Financials,5942.0000,0.0158,0.0088
JNPR,Juniper Networks,Information Technology,4811.0000,0.0182,0.0108
KSU,Kansas City Southern,Industrials,5942.0000,0.0187,0.0092
K,Kellogg Co.,Consumer Staples,5942.0000,0.0165,0.0087
KEY,KeyCorp,Financials,5942.0000,0.0209,0.0095
KMB,Kimberly-Clark,Consumer Staples,5942.0000,0.0154,0.0077
KIM,Kimco Realty,Real Estate,5939.0000,0.0246,0.0106
KMI,Kinder Morgan,Energy,1884.0000,0.0184,0.0082
KLAC,KLA-Tencor Corp.,Information Technology,5942.0000,0.0237,0.0134
KSS,Kohl's Corp.,Consumer Discretionary,5942.0000,0.0308,0.0143
KHC,Kraft Heinz Co,Consumer Staples,780.0000,0.0161,0.0087
KR,Kroger Co.,Consumer Staples,5942.0000,0.0237,0.0160
LB,L Brands Inc.,Consumer Discretionary,5942.0000,0.0305,0.0137
LLL,L-3 Communications Holdings,Industrials,5089.0000,0.0161,0.0096
LH,Laboratory Corp. of America Holding,Health Care,5942.0000,0.0156,0.0084
LRCX,Lam Research,Information Technology,5942.0000,0.0262,0.0144
LEG,Leggett & Platt,Consumer Discretionary,5942.0000,0.0160,0.0098
LEN,Lennar Corp.,Consumer Discretionary,5942.0000,0.0216,0.0113
LUK,Leucadia National Corp.,Financials,5890.0000,0.0177,0.0084
LLY,Lilly (Eli) & Co.,Health Care,5942.0000,0.0150,0.0080
LNC,Lincoln National,Financials,5942.0000,0.0200,0.0097
LKQ,LKQ Corporation,Consumer Discretionary,3737.0000,0.0180,0.0104
LMT,Lockheed Martin Corp.,Industrials,5942.0000,0.0139,0.0099
L,Loews Corp.,Financials,5942.0000,0.0119,0.0064
LOW,Lowe's Cos.,Consumer Discretionary,5942.0000,0.0176,0.0103
LYB,LyondellBasell,Materials,2085.0000,0.0190,0.0100
MTB,M&T Bank Corp.,Financials,5942.0000,0.0182,0.0086
MAC,Macerich,Real Estate,5942.0000,0.0231,0.0122
M,Macy's Inc.,Consumer Discretionary,5942.0000,0.0323,0.0159
MRO,Marathon Oil Corp.,Energy,5942.0000,0.0317,0.0135
MPC,Marathon Petroleum,Energy,1793.0000,0.0215,0.0104
MAR,Marriott Int'l.,Consumer Discretionary,5942.0000,0.0173,0.0087
MMC,Marsh & McLennan,Financials,5942.0000,0.0124,0.0061
MLM,Martin Marietta Materials,Materials,5942.0000,0.0232,0.0112
MAS,Masco Corp.,Industrials,5942.0000,0.0169,0.0091
MA,Mastercard Inc.,Information Technology,3072.0000,0.0150,0.0093
MAT,Mattel Inc.,Consumer Discretionary,5942.0000,0.0324,0.0218
MKC,McCormick & Co.,Consumer Staples,5942.0000,0.0152,0.0080
MCD,McDonald's Corp.,Consumer Discretionary,5942.0000,0.0126,0.0080
